Objects,Amount,Time,Market,Person
High Speed Crusher,2,2021-06-03,Buy,MBH
Glove,2,2021-06-03,Buy,MBH
Electric Pressure Cooker,1,2021-06-03,Buy,MBH
Portable - Juicer,1,2021-06-03,Buy,MBH
Kitchen Specialist - Universal Chopper,1,2021-06-03,Buy,MBH
Home Time - Iron,1,2021-06-03,Buy,MBH
HTC - Hand Mixer,1,2021-06-03,Buy,MBH
Portable - Juicer,1,2021-06-03,Buy,Afi
Marado - Boiler,3,2021-06-03,Buy,Afi
Portable - Juicer,15,2021-06-03,Buy,MBH
Kenwood - Juicer,5,2021-06-03,Buy,MBH
Scarlett - Hand Mixer,2,2021-06-03,Buy,MBH
Portable - Juicer,6,2021-06-03,Sell,MBH
Portable - Juicer,1,2021-06-03,Sell,Afi
Portable - Juicer,1,2021-06-03,Defect,MBH
Kitchen Specialist - Universal Chopper,1,2021-06-03,Defect,MBH
Portable - Juicer,3,2021-06-04,Sell,MBH
Kenwood - Juicer,2,2021-06-04,Sell,MBH
